# Format is: alabel, ulabel, english, type

FITNESS, null, null, New-gTLD
SCHULE, null, null, New-gTLD
FOO, null, null, New-gTLD
SOY, null, null, New-gTLD
PARIS, null, null, New-gTLD
FROGANS, null, null, New-gTLD
QUEBEC, null, null, New-gTLD
PICTURES, null, null, New-gTLD
UNIVERSITY, null, null, New-gTLD
GAL, null, null, New-gTLD
ASSOCIATES, null, null, New-gTLD
REISEN, null, null, New-gTLD
MEDIA, null, null, New-gTLD
CAREER, null, null, New-gTLD
TOWN, null, null, New-gTLD
TOYS, null, null, New-gTLD
LEASE, null, null, New-gTLD
SERVICES, null, null, New-gTLD
ENGINEERING, null, null, New-gTLD
GRIPE, null, null, New-gTLD
EUS, null, null, New-gTLD
CAPITAL, null, null, New-gTLD
DESI, null, null, New-gTLD
FEEDBACK, null, null, New-gTLD
COLLEGE, null, null, New-gTLD
ROCKS, null, null, New-gTLD
xn--ses554g, 网址, network address, New-gTLD
GOP, null, null, New-gTLD
RYUKYU, null, null, New-gTLD
YOKOHAMA, null, null, New-gTLD
REST, null, null, New-gTLD
SAARLAND, null, null, New-gTLD
CONSULTING, null, null, New-gTLD
VODKA, null, null, New-gTLD
HAUS, null, null, New-gTLD
COOKING, null, null, New-gTLD
MOE, null, null, New-gTLD
RODEO, null, null, New-gTLD
COUNTRY, null, null, New-gTLD
xn--czru2d 商城, mall, New-gTLD
HORSE, null, null, New-gTLD
FISHING, null, null, New-gTLD
VEGAS, null, null, New-gTLD
MIAMI, null, null, New-gTLD
ARCHI, null, null, New-gTLD
BLACK, null, null, New-gTLD
REN, null, null, New-gTLD
MEET, null, null, New-gTLD
SOHU, null, null, New-gTLD
LONDON, null, null, New-gTLD
NYC, null, null, New-gTLD
COLOGNE, null, null, New-gTLD
AXA, null, null, New-gTLD
WEBCAM, null, null, New-gTLD
TRADE, null, null, New-gTLD
JETZT, null, null, New-gTLD
xn--rhqv96g, 世界, world, New-gTLD
DNP, null, null, New-gTLD
INK, null, null, New-gTLD
xn--nqv7f, 机构, agencies/institutions, New-gTLD
xn--i1b6b1a6a2e, संगठन, organization, New-gTLD
xn--nqv7fs00ema, 组织机构, organization, New-gTLD
xn--c1avg, организация, organization, New-gTLD
KOELN, null, null, New-gTLD
BID, null, null, New-gTLD
OKINAWA, null, null, New-gTLD
VOTE, null, null, New-gTLD
VOTO, null, null, New-gTLD
BAR, null, null, New-gTLD
KRED, null, null, New-gTLD
BEST, null, null, New-gTLD
CHRISTMAS, null, null, New-gTLD
PUB, null, null, New-gTLD
xn--d1acj3b, дети, kids, New-gTLD
ACTOR, null, null, New-gTLD
SUPPLIES, null, null, New-gTLD
FISH, null, null, New-gTLD
xn―cg4bki, 삼성, Samsung, New-gTLD
VACATIONS, null, null, New-gTLD
INDUSTRIES, null, null, New-gTLD
SUPPLY, null, null, New-gTLD
XYZ, null, null, New-gTLD
WIKI, null, null, New-gTLD
NEUSTAR, null, null, New-gTLD
xn--mgbab2bd, بازار, bazaar, New-gTLD
MANGO, null, null, New-gTLD
QPON, null, null, New-gTLD
CARDS, null, null, New-gTLD
FOUNDATION, null, null, New-gTLD
REVIEWS, null, null, New-gTLD
FUTBOL, null, null, New-gTLD
VISION, null, null, New-gTLD
CONDOS, null, null, New-gTLD
VILLAS, null, null, New-gTLD
PARTS, null, null, New-gTLD
PRODUCTIONS, null, null, New-gTLD
MAISON, null, null, New-gTLD
xn--6frz82g, 移动, mobile, New-gTLD
BLUE, null, null, New-gTLD
FLIGHTS, null, null, New-gTLD
CLEANING, null, null, New-gTLD
REPORT, null, null, New-gTLD
EVENTS, null, null, New-gTLD
CRUISES, null, null, New-gTLD
RENTALS, null, null, New-gTLD
PARTNERS, null, null, New-gTLD
PROPERTIES, null, null, New-gTLD
CATERING, null, null, New-gTLD
EXPOSED, null, null, New-gTLD
VOTING, null, null, New-gTLD
TOKYO, null, null, New-gTLD
NAGOYA, null, null, New-gTLD
DATING, null, null, New-gTLD
COMMUNITY, null, null, New-gTLD
BOUTIQUE, null, null, New-gTLD
BARGAINS, null, null, New-gTLD
TIENDA, null, null, New-gTLD
WORKS, null, null, New-gTLD
WED, null, null, New-gTLD
EXPERT, null, null, New-gTLD
WATCH, null, null, New-gTLD
KIM, null, null, New-gTLD
COOL, null, null, New-gTLD
TOOLS, null, null, New-gTLD
CLUB, null, null, New-gTLD
BUILD, null, null, New-gTLD
PICS, null, null, New-gTLD
PINK, null, null, New-gTLD
LUXURY, null, null, New-gTLD
PHOTO, null, null, New-gTLD
GIFT, null, null, New-gTLD
xn--io0a7i, 网络,network, New-gTLD
xn--55qx5d, 公司, company, New-gTLD
MONASH, null, null, New-gTLD
RICH, null, null, New-gTLD
RED, null, null, New-gTLD
SHIKSHA, null, null, New-gTLD
xn--fiq64b, 中信, CITIC, New-gTLD
LINK, null, null, New-gTLD
GUITARS, null, null , New-gTLD
ZONE, null, null, New-gTLD
CHEAP, null, null, New-gTLD
MARKETING, null, null, New-gTLD
DEMOCRAT, null, null, New-gTLD
SOCIAL, null, null, New-gTLD
AGENCY, null, null, New-gTLD
MODA, null, null, New-gTLD
DANCE, null, null, New-gTLD
BERLIN, null, null, New-gTLD
xn--3bst00m, 集团, group, New-gTLD
xn--6qq986b3xl, 我爱你, I love you, New-gTLD
xn--fiq228c5hs, 中文网, Chinese network, New-gTLD
WANG, null, null, New-gTLD
KIWI, null, null, New-gTLD
WIEN, null, null, New-gTLD
EMAIL, null, null, New-gTLD
IMMOBILIEN, null, null, New-gTLD
xn--3ds443g, 在线, online, New-gTLD
INSTITUTE, null, null, New-gTLD
CEO, null, null, New-gTLD
SOLAR, null, null, New-gTLD
FARM, null, null, New-gTLD
EDUCATION, null, null, New-gTLD
GLASS, null, null, New-gTLD
ONL, null, null, New-gTLD
INTERNATIONAL, null, null, New-gTLD
CODES, null, null, New-gTLD
TRAINING, null, null, New-gTLD
HOUSE, null, null, New-gTLD
KAUFEN, null, null, New-gTLD
NINJA, null, null, New-gTLD
REPAIR, null, null, New-gTLD
BUILDERS, null, null, New-gTLD
COFFEE, null, null, New-gTLD
FLORIST, null, null, New-gTLD
HOLIDAY, null, null, New-gTLD
SOLUTIONS, null, null, New-gTLD
BUZZ, null, null, New-gTLD
SUPPORT, null, null, New-gTLD
RECIPES, null, null, New-gTLD
COMPUTER, null, null, New-gTLD
ACADEMY, null, null, New-gTLD
CAREERS, null, null, New-gTLD
CAB, null, null, New-gTLD
xn--55qw42g, 公益, charity, New-gTLD
xn--zfr164b, 政务, government, New-gTLD
SYSTEMS, null, null, New-gTLD
DOMAINS, null, null, New-gTLD
VIAJES, null, null, New-gTLD
COMPANY, null, null, New-gTLD
CAMP, null, null, New-gTLD
LIMO, null, null, New-gTLD
MANAGEMENT, null, null, New-gTLD
PHOTOS, null, null, New-gTLD
